date,site,region,pm25_ugm3
2019-12-30,St Albans,Canterbury,6.288
2019-12-30,St Johns,Hawke's Bay,6.7
2019-12-30,Takapuna,Auckland,9.3
2019-12-30,Waimate Kennedy,Canterbury,4.338
2019-12-30,Wainuiomata (Moohan Street),Wellington,5.032
2019-12-30,Waitomo District Council,Waikato,7.43264
2019-12-30,Washdyke Alpine,Canterbury,5.596
2019-12-30,Wellington Central (Willis Street),Wellington,6.738
2019-12-30,Whangārei Air Shed at Robert Street,Northland,11.34
2019-12-30,Winton at Essex Street,Southland,3.49
2019-12-30,Woolston,Canterbury,5.092
2019-12-31,Anzac Square,Canterbury,6.196
2019-12-31,Awatoto AQ,Hawke's Bay,5.9
2019-12-31,Billah Street,Waikato,8.78382
2019-12-31,Blenheim Bowling Club,Marlborough,6.92
2019-12-31,Central School,Taranaki,5.79
2019-12-31,Claudelands,Waikato,10.31597
2019-12-31,Geraldine,Canterbury,6.546
2019-12-31,Hampstead,Canterbury,7.375
2019-12-31,Kaiapoi,Canterbury,4.908
2019-12-31,Marewa Park,Hawke's Bay,5.5
2019-12-31,Masterton West (Pownall Street),Wellington,6.258
2019-12-31,Mount Maunganui at Totara St,Bay of Plenty,11.068
2019-12-31,Nelson at St Vincent St,Nelson,8.0
2019-12-31,Patumahoe,Auckland,6.4
2019-12-31,Penrose,Auckland,8.0
2019-12-31,Plunket AQ,Tasman,7.4
2019-12-31,Queen Street,Auckland,9.0
2019-12-31,Rangiora,Canterbury,6.004
2019-12-31,Reefton AQ at School Pool,West Coast,1.65
2019-12-31,Rotorua at Edmund Rd,Bay of Plenty,10.438
2019-12-31,St Albans,Canterbury,6.042
2019-12-31,St Johns,Hawke's Bay,5.6
2019-12-31,Takapuna,Auckland,8.7
2019-12-31,Waimate Kennedy,Canterbury,5.071
2019-12-31,Wainuiomata (Moohan Street),Wellington,5.029
2019-12-31,Waitomo District Council,Waikato,7.5375
2019-12-31,Washdyke Alpine,Canterbury,5.683
2019-12-31,Wellington Central (Willis Street),Wellington,7.03
2019-12-31,Whangārei Air Shed at Robert Street,Northland,11.11
2019-12-31,Winton at Essex Street,Southland,0.0
2019-12-31,Woolston,Canterbury,4.075
2020-01-01,Anzac Square,Canterbury,10.329
2020-01-01,Awatoto AQ,Hawke's Bay,6.7
2020-01-01,Billah Street,Waikato,9.11944
2020-01-01,Blenheim Bowling Club,Marlborough,10.45
2020-01-01,Central School,Taranaki,3.88
2020-01-01,Claudelands,Waikato,8.12431
2020-01-01,Geraldine,Canterbury,11.462
2020-01-01,Hampstead,Canterbury,14.408
2020-01-01,Kaiapoi,Canterbury,12.671
2020-01-01,Marewa Park,Hawke's Bay,7.1
2020-01-01,Masterton West (Pownall Street),Wellington,5.006
2020-01-01,Mount Maunganui at Totara St,Bay of Plenty,10.123
2020-01-01,Nelson at St Vincent St,Nelson,8.4
2020-01-01,Patumahoe,Auckland,6.5
2020-01-01,Penrose,Auckland,6.0
2020-01-01,Plunket AQ,Tasman,7.2
2020-01-01,Queen Street,Auckland,7.5
2020-01-01,Rangiora,Canterbury,13.133
2020-01-01,Reefton AQ at School Pool,West Coast,2.21
2020-01-01,Rotorua at Edmund Rd,Bay of Plenty,7.324
2020-01-01,St Albans,Canterbury,14.683
2020-01-01,St Johns,Hawke's Bay,7.3
2020-01-01,Takapuna,Auckland,7.5
2020-01-01,Waimate Kennedy,Canterbury,10.908
2020-01-01,Wainuiomata (Moohan Street),Wellington,5.922
2020-01-01,Waitomo District Council,Waikato,5.84306
2020-01-01,Washdyke Alpine,Canterbury,11.333
2020-01-01,Wellington Central (Willis Street),Wellington,6.94
2020-01-01,Whangārei Air Shed at Robert Street,Northland,10.56
2020-01-01,Winton at Essex Street,Southland,5.04
2020-01-01,Woolston,Canterbury,9.883
2020-01-02,Anzac Square,Canterbury,8.771
2020-01-02,Awatoto AQ,Hawke's Bay,5.8
2020-01-02,Billah Street,Waikato,6.2234
2020-01-02,Blenheim Bowling Club,Marlborough,10.37
2020-01-02,Central School,Taranaki,3.5
2020-01-02,Claudelands,Waikato,6.15417
2020-01-02,Geraldine,Canterbury,17.556
2020-01-02,Hampstead,Canterbury,13.733
2020-01-02,Kaiapoi,Canterbury,16.975
2020-01-02,Marewa Park,Hawke's Bay,7.2
2020-01-02,Masterton West (Pownall Street),Wellington,5.719
2020-01-02,Mount Maunganui at Totara St,Bay of Plenty,5.838
2020-01-02,Nelson at St Vincent St,Nelson,9.5
2020-01-02,Patumahoe,Auckland,5.0
2020-01-02,Penrose,Auckland,5.5
2020-01-02,Plunket AQ,Tasman,12.0
2020-01-02,Queen Street,Auckland,5.3
2020-01-02,Rangiora,Canterbury,19.329
2020-01-02,Reefton AQ at School Pool,West Coast,4.2
2020-01-02,Rotorua at Edmund Rd,Bay of Plenty,4.764
2020-01-02,St Albans,Canterbury,17.171
2020-01-02,St Johns,Hawke's Bay,5.8
2020-01-02,Takapuna,Auckland,5.0
2020-01-02,Waimate Kennedy,Canterbury,8.321
2020-01-02,Wainuiomata (Moohan Street),Wellington,4.413
2020-01-02,Waitomo District Council,Waikato,5.16875
2020-01-02,Washdyke Alpine,Canterbury,10.754
2020-01-02,Wellington Central (Willis Street),Wellington,4.838
2020-01-02,Whangārei Air Shed at Robert Street,Northland,6.8
2020-01-02,Winton at Essex Street,Southland,3.65
2020-01-02,Woolston,Canterbury,14.967
2020-01-03,Anzac Square,Canterbury,4.875
2020-01-03,Awatoto AQ,Hawke's Bay,11.1
2020-01-03,Billah Street,Waikato,9.25174
2020-01-03,Blenheim Bowling Club,Marlborough,14.96
2020-01-03,Central School,Taranaki,8.75
2020-01-03,Claudelands,Waikato,11.56736
2020-01-03,Geraldine,Canterbury,4.825
2020-01-03,Hampstead,Canterbury,5.504
2020-01-03,Kaiapoi,Canterbury,5.621
2020-01-03,Marewa Park,Hawke's Bay,13.6
2020-01-03,Masterton West (Pownall Street),Wellington,19.291
2020-01-03,Mount Maunganui at Totara St,Bay of Plenty,8.917
2020-01-03,Nelson at St Vincent St,Nelson,14.3
2020-01-03,Patumahoe,Auckland,8.4
2020-01-03,Penrose,Auckland,9.7
2020-01-03,Plunket AQ,Tasman,13.2
2020-01-03,Queen Street,Auckland,10.2
2020-01-03,Rangiora,Canterbury,7.892
2020-01-03,Reefton AQ at School Pool,West Coast,5.48
2020-01-03,Rotorua at Edmund Rd,Bay of Plenty,7.742
2020-01-03,St Albans,Canterbury,8.625
2020-01-03,St Johns,Hawke's Bay,11.9
2020-01-03,Takapuna,Auckland,10.3
2020-01-03,Waimate Kennedy,Canterbury,5.308
2020-01-03,Wainuiomata (Moohan Street),Wellington,20.792
2020-01-03,Waitomo District Council,Waikato,9.69583
2020-01-03,Washdyke Alpine,Canterbury,5.067
2020-01-03,Wellington Central (Willis Street),Wellington,15.932
2020-01-03,Whangārei Air Shed at Robert Street,Northland,12.38
2020-01-03,Winton at Essex Street,Southland,4.34
2020-01-03,Woolston,Canterbury,6.05
2020-01-04,Anzac Square,Canterbury,4.063
2020-01-04,Awatoto AQ,Hawke's Bay,5.8
2020-01-04,Billah Street,Waikato,7.87097
2020-01-04,Blenheim Bowling Club,Marlborough,4.03
2020-01-04,Central School,Taranaki,6.21
2020-01-04,Claudelands,Waikato,10.35556
2020-01-04,Geraldine,Canterbury,3.844
2020-01-04,Hampstead,Canterbury,5.871
2020-01-04,Kaiapoi,Canterbury,4.504
2020-01-04,Marewa Park,Hawke's Bay,4.8
2020-01-04,Masterton West (Pownall Street),Wellington,5.005
2020-01-04,Mount Maunganui at Totara St,Bay of Plenty,8.003
2020-01-04,Nelson at St Vincent St,Nelson,6.1
2020-01-04,Patumahoe,Auckland,9.2
2020-01-04,Penrose,Auckland,10.1
2020-01-04,Plunket AQ,Tasman,4.6
2020-01-04,Queen Street,Auckland,9.6
2020-01-04,Rangiora,Canterbury,3.721
2020-01-04,Reefton AQ at School Pool,West Coast,2.76
2020-01-04,Rotorua at Edmund Rd,Bay of Plenty,6.477
2020-01-04,St Albans,Canterbury,4.004
2020-01-04,St Johns,Hawke's Bay,4.4
2020-01-04,Takapuna,Auckland,9.2
2020-01-04,Waimate Kennedy,Canterbury,1.729
2020-01-04,Wainuiomata (Moohan Street),Wellington,3.998
2020-01-04,Waitomo District Council,Waikato,7.80347
2020-01-04,Washdyke Alpine,Canterbury,4.371
2020-01-04,Wellington Central (Willis Street),Wellington,5.798
2020-01-04,Whangārei Air Shed at Robert Street,Northland,10.17
2020-01-04,Winton at Essex Street,Southland,2.2
2020-01-04,Woolston,Canterbury,3.308
2020-01-05,Anzac Square,Canterbury,6.704
2020-01-05,Awatoto AQ,Hawke's Bay,6.7
2020-01-05,Billah Street,Waikato,7.43715
2020-01-05,Blenheim Bowling Club,Marlborough,4.37
2020-01-05,Central School,Taranaki,6.33
2020-01-05,Claudelands,Waikato,9.09375
2020-01-05,Geraldine,Canterbury,6.924
2020-01-05,Hampstead,Canterbury,9.763
2020-01-05,Kaiapoi,Canterbury,5.479
2020-01-05,Marewa Park,Hawke's Bay,8.0
2020-01-05,Masterton West (Pownall Street),Wellington,5.801
2020-01-05,Mount Maunganui at Totara St,Bay of Plenty,6.891
2020-01-05,Nelson at St Vincent St,Nelson,3.5
2020-01-05,Patumahoe,Auckland,8.0
2020-01-05,Penrose,Auckland,10.5
2020-01-05,Plunket AQ,Tasman,6.7
2020-01-05,Queen Street,Auckland,8.3
2020-01-05,Rangiora,Canterbury,6.646
2020-01-05,Reefton AQ at School Pool,West Coast,2.43
2020-01-05,Rotorua at Edmund Rd,Bay of Plenty,5.368
2020-01-05,St Albans,Canterbury,7.096
2020-01-05,St Johns,Hawke's Bay,8.7
2020-01-05,Takapuna,Auckland,8.3
2020-01-05,Waimate Kennedy,Canterbury,5.688
2020-01-05,Wainuiomata (Moohan Street),Wellington,5.061
2020-01-05,Waitomo District Council,Waikato,6.86042
2020-01-05,Washdyke Alpine,Canterbury,6.2
2020-01-05,Wellington Central (Willis Street),Wellington,3.092
2020-01-05,Whangārei Air Shed at Robert Street,Northland,8.03
2020-01-05,Winton at Essex Street,Southland,5.03
2020-01-05,Woolston,Canterbury,6.438
2020-01-06,Anzac Square,Canterbury,2.338
2020-01-06,Awatoto AQ,Hawke's Bay,8.5
2020-01-06,Billah Street,Waikato,9.26861
2020-01-06,Blenheim Bowling Club,Marlborough,6.49
2020-01-06,Central School,Taranaki,10.04
2020-01-06,Claudelands,Waikato,11.93889
2020-01-06,Geraldine,Canterbury,1.966
2020-01-06,Hampstead,Canterbury,4.55
2020-01-06,Kaiapoi,Canterbury,5.008
2020-01-06,Marewa Park,Hawke's Bay,6.8
2020-01-06,Masterton West (Pownall Street),Wellington,8.205
2020-01-06,Mount Maunganui at Totara St,Bay of Plenty,10.508
2020-01-06,Nelson at St Vincent St,Nelson,5.5
2020-01-06,Patumahoe,Auckland,13.3
2020-01-06,Penrose,Auckland,7.9
2020-01-06,Plunket AQ,Tasman,3.9
2020-01-06,Queen Street,Auckland,12.8
2020-01-06,Rangiora,Canterbury,3.971
2020-01-06,Reefton AQ at School Pool,West Coast,4.71
2020-01-06,Rotorua at Edmund Rd,Bay of Plenty,7.744
2020-01-06,St Albans,Canterbury,6.013
2020-01-06,St Johns,Hawke's Bay,6.8
2020-01-06,Takapuna,Auckland,12.2
2020-01-06,Waimate Kennedy,Canterbury,1.3
2020-01-06,Wainuiomata (Moohan Street),Wellington,6.55
2020-01-06,Waitomo District Council,Waikato,9.41458
2020-01-06,Washdyke Alpine,Canterbury,3.125
2020-01-06,Wellington Central (Willis Street),Wellington,8.636
2020-01-06,Whangārei Air Shed at Robert Street,Northland,17.97
2020-01-06,Winton at Essex Street,Southland,4.48
2020-01-06,Woolston,Canterbury,4.242
2020-01-07,Anzac Square,Canterbury,2.796
2020-01-07,Awatoto AQ,Hawke's Bay,6.4
2020-01-07,Billah Street,Waikato,6.49264
2020-01-07,Blenheim Bowling Club,Marlborough,5.92
2020-01-07,Central School,Taranaki,5.88
2020-01-07,Claudelands,Waikato,8.74792
2020-01-07,Geraldine,Canterbury,3.711
2020-01-07,Hampstead,Canterbury,5.096
2020-01-07,Kaiapoi,Canterbury,4.129
2020-01-07,Marewa Park,Hawke's Bay,5.2
2020-01-07,Masterton West (Pownall Street),Wellington,6.867
2020-01-07,Mount Maunganui at Totara St,Bay of Plenty,8.519
2020-01-07,Nelson at St Vincent St,Nelson,6.2
2020-01-07,Patumahoe,Auckland,7.9
2020-01-07,Penrose,Auckland,14.0
2020-01-07,Plunket AQ,Tasman,5.8
2020-01-07,Queen Street,Auckland,8.7
2020-01-07,Rangiora,Canterbury,3.7
2020-01-07,Reefton AQ at School Pool,West Coast,1.73
2020-01-07,Rotorua at Edmund Rd,Bay of Plenty,6.077
2020-01-07,St Albans,Canterbury,3.65
2020-01-07,St Johns,Hawke's Bay,4.8
2020-01-07,Takapuna,Auckland,8.5
2020-01-07,Waimate Kennedy,Canterbury,2.75
2020-01-07,Waitomo District Council,Waikato,6.71458
2020-01-07,Washdyke Alpine,Canterbury,3.95
2020-01-07,Wellington Central (Willis Street),Wellington,6.94
2020-01-07,Whangārei Air Shed at Robert Street,Northland,11.09
2020-01-07,Winton at Essex Street,Southland,1.23
2020-01-07,Woolston,Canterbury,3.488
2020-01-08,Anzac Square,Canterbury,3.388
2020-01-08,Awatoto AQ,Hawke's Bay,5.7
2020-01-08,Billah Street,Waikato,6.85819
2020-01-08,Blenheim Bowling Club,Marlborough,5.08
2020-01-08,Central School,Taranaki,4.29
2020-01-08,Claudelands,Waikato,6.56111
2020-01-08,Geraldine,Canterbury,5.211
2020-01-08,Gisborne Boys' High School,Gisborne,6.248
2020-01-08,Hampstead,Canterbury,5.171
2020-01-08,Kaiapoi,Canterbury,5.2
2020-01-08,Marewa Park,Hawke's Bay,5.3
2020-01-08,Masterton West (Pownall Street),Wellington,5.615
2020-01-08,Mount Maunganui at Totara St,Bay of Plenty,7.053
2020-01-08,Nelson at St Vincent St,Nelson,4.9
2020-01-08,Patumahoe,Auckland,4.3
2020-01-08,Penrose,Auckland,13.5
2020-01-08,Plunket AQ,Tasman,4.5
2020-01-08,Queen Street,Auckland,6.4
2020-01-08,Rangiora,Canterbury,4.188
2020-01-08,Reefton AQ at School Pool,West Coast,2.11
2020-01-08,Rotorua at Edmund Rd,Bay of Plenty,6.004
2020-01-08,St Albans,Canterbury,4.988
2020-01-08,St Johns,Hawke's Bay,4.3
2020-01-08,Takapuna,Auckland,5.9
2020-01-08,Waimate Kennedy,Canterbury,2.9
2020-01-08,Waitomo District Council,Waikato,5.58264
2020-01-08,Washdyke Alpine,Canterbury,3.638
2020-01-08,Wellington Central (Willis Street),Wellington,5.863
2020-01-08,Whangārei Air Shed at Robert Street,Northland,6.6
2020-01-08,Winton at Essex Street,Southland,0.61
2020-01-08,Woolston,Canterbury,3.7
2020-01-09,Anzac Square,Canterbury,4.696
2020-01-09,Awatoto AQ,Hawke's Bay,5.2
2020-01-09,Billah Street,Waikato,5.13528
2020-01-09,Blenheim Bowling Club,Marlborough,5.42
2020-01-09,Central School,Taranaki,4.58
2020-01-09,Claudelands,Waikato,6.42847
2020-01-09,Geraldine,Canterbury,4.96
2020-01-09,Gisborne Boys' High School,Gisborne,4.904
2020-01-09,Hampstead,Canterbury,5.358
2020-01-09,Kaiapoi,Canterbury,4.446
2020-01-09,Marewa Park,Hawke's Bay,5.6
2020-01-09,Masterton West (Pownall Street),Wellington,4.876
2020-01-09,Mount Maunganui at Totara St,Bay of Plenty,8.27
2020-01-09,Nelson at St Vincent St,Nelson,3.7
2020-01-09,Patumahoe,Auckland,6.2
2020-01-09,Penrose,Auckland,9.3
2020-01-09,Plunket AQ,Tasman,3.1
2020-01-09,Queen Street,Auckland,6.3
2020-01-09,Rangiora,Canterbury,4.217
2020-01-09,Reefton AQ at School Pool,West Coast,1.84
2020-01-09,Rotorua at Edmund Rd,Bay of Plenty,4.985
2020-01-09,St Albans,Canterbury,5.721
2020-01-09,St Johns,Hawke's Bay,4.7
2020-01-09,Takapuna,Auckland,6.0
2020-01-09,Waimate Kennedy,Canterbury,4.279
2020-01-09,Waitomo District Council,Waikato,5.88264
2020-01-09,Washdyke Alpine,Canterbury,7.129
2020-01-09,Wellington Central (Willis Street),Wellington,4.795
2020-01-09,Whangārei Air Shed at Robert Street,Northland,5.63
2020-01-09,Winton at Essex Street,Southland,5.12
2020-01-09,Woolston,Canterbury,3.363
2020-01-10,Anzac Square,Canterbury,4.767
2020-01-10,Awatoto AQ,Hawke's Bay,4.7
2020-01-10,Billah Street,Waikato,5.78174
2020-01-10,Blenheim Bowling Club,Marlborough,6.16
2020-01-10,Central School,Taranaki,4.21
2020-01-10,Claudelands,Waikato,7.37639
2020-01-10,Geraldine,Canterbury,6.82
2020-01-10,Gisborne Boys' High School,Gisborne,5.321
2020-01-10,Hampstead,Canterbury,6.063
2020-01-10,Kaiapoi,Canterbury,5.492
2020-01-10,Marewa Park,Hawke's Bay,5.5
2020-01-10,Masterton West (Pownall Street),Wellington,6.912
2020-01-10,Mount Maunganui at Totara St,Bay of Plenty,7.955
2020-01-10,Nelson at St Vincent St,Nelson,4.1
2020-01-10,Patumahoe,Auckland,6.0
2020-01-10,Penrose,Auckland,9.2
2020-01-10,Plunket AQ,Tasman,5.5
2020-01-10,Queen Street,Auckland,7.8
2020-01-10,Rangiora,Canterbury,5.079
2020-01-10,Reefton AQ at School Pool,West Coast,1.25
2020-01-10,Rotorua at Edmund Rd,Bay of Plenty,4.298
2020-01-10,St Albans,Canterbury,5.05
2020-01-10,St Johns,Hawke's Bay,5.8
2020-01-10,Takapuna,Auckland,7.1
2020-01-10,Waimate Kennedy,Canterbury,3.838
2020-01-10,Wainuiomata (Moohan Street),Wellington,4.8
2020-01-10,Waitomo District Council,Waikato,5.91944
2020-01-10,Washdyke Alpine,Canterbury,4.917
2020-01-10,Wellington Central (Willis Street),Wellington,7.308
2020-01-10,Whangārei Air Shed at Robert Street,Northland,9.07
2020-01-10,Winton at Essex Street,Southland,4.51
2020-01-10,Woolston,Canterbury,3.704
2020-01-11,Anzac Square,Canterbury,7.254
2020-01-11,Awatoto AQ,Hawke's Bay,6.1
2020-01-11,Billah Street,Waikato,6.21479
2020-01-11,Blenheim Bowling Club,Marlborough,6.01
2020-01-11,Central School,Taranaki,3.58
2020-01-11,Claudelands,Waikato,6.8
2020-01-11,Geraldine,Canterbury,4.636
2020-01-11,Gisborne Boys' High School,Gisborne,5.579
2020-01-11,Hampstead,Canterbury,6.154
2020-01-11,Kaiapoi,Canterbury,4.854
2020-01-11,Marewa Park,Hawke's Bay,7.4
2020-01-11,Masterton West (Pownall Street),Wellington,4.762
2020-01-11,Mount Maunganui at Totara St,Bay of Plenty,8.69
2020-01-11,Nelson at St Vincent St,Nelson,5.6
2020-01-11,Patumahoe,Auckland,3.9
2020-01-11,Penrose,Auckland,8.6
2020-01-11,Plunket AQ,Tasman,5.3
2020-01-11,Queen Street,Auckland,6.0
2020-01-11,Rangiora,Canterbury,4.654
2020-01-11,Reefton AQ at School Pool,West Coast,1.23
2020-01-11,Rotorua at Edmund Rd,Bay of Plenty,9.663
2020-01-11,St Albans,Canterbury,6.058
2020-01-11,St Johns,Hawke's Bay,5.9
2020-01-11,Takapuna,Auckland,5.6
2020-01-11,Waimate Kennedy,Canterbury,6.446
2020-01-11,Wainuiomata (Moohan Street),Wellington,4.607
2020-01-11,Waitomo District Council,Waikato,4.53403
2020-01-11,Washdyke Alpine,Canterbury,6.129
2020-01-11,Wellington Central (Willis Street),Wellington,6.678
2020-01-11,Whangārei Air Shed at Robert Street,Northland,5.01
2020-01-11,Winton at Essex Street,Southland,0.89
2020-01-11,Woolston,Canterbury,4.592
2020-01-12,Anzac Square,Canterbury,4.992
2020-01-12,Awatoto AQ,Hawke's Bay,5.2
2020-01-12,Billah Street,Waikato,5.3034
2020-01-12,Blenheim Bowling Club,Marlborough,3.52
2020-01-12,Central School,Taranaki,2.33
2020-01-12,Claudelands,Waikato,6.80208
2020-01-12,Geraldine,Canterbury,4.23
2020-01-12,Gisborne Boys' High School,Gisborne,7.895
2020-01-12,Hampstead,Canterbury,4.363
2020-01-12,Kaiapoi,Canterbury,2.692
2020-01-12,Marewa Park,Hawke's Bay,6.5
2020-01-12,Masterton West (Pownall Street),Wellington,4.631
2020-01-12,Mount Maunganui at Totara St,Bay of Plenty,5.707
2020-01-12,Nelson at St Vincent St,Nelson,8.5
2020-01-12,Patumahoe,Auckland,6.1
2020-01-12,Penrose,Auckland,14.5
2020-01-12,Plunket AQ,Tasman,6.3
2020-01-12,Queen Street,Auckland,8.6
2020-01-12,Rangiora,Canterbury,3.808
2020-01-12,Reefton AQ at School Pool,West Coast,-0.62
2020-01-12,Rotorua at Edmund Rd,Bay of Plenty,5.885
2020-01-12,St Albans,Canterbury,3.829
2020-01-12,St Johns,Hawke's Bay,6.7
2020-01-12,Takapuna,Auckland,6.1
2020-01-12,Waimate Kennedy,Canterbury,5.017
2020-01-12,Wainuiomata (Moohan Street),Wellington,5.668
2020-01-12,Waitomo District Council,Waikato,5.94097
2020-01-12,Washdyke Alpine,Canterbury,4.529
2020-01-12,Wellington Central (Willis Street),Wellington,5.624
2020-01-12,Whangārei Air Shed at Robert Street,Northland,6.85
2020-01-12,Winton at Essex Street,Southland,4.29
2020-01-12,Woolston,Canterbury,2.179
2020-01-13,Anzac Square,Canterbury,5.221
2020-01-13,Awatoto AQ,Hawke's Bay,5.3
2020-01-13,Billah Street,Waikato,6.82424
2020-01-13,Blenheim Bowling Club,Marlborough,6.36
2020-01-13,Central School,Taranaki,3.29
2020-01-13,Claudelands,Waikato,6.77847
2020-01-13,Geraldine,Canterbury,5.324
2020-01-13,Gisborne Boys' High School,Gisborne,7.777
2020-01-13,Hampstead,Canterbury,6.354
2020-01-13,Kaiapoi,Canterbury,5.45
2020-01-13,Masterton West (Pownall Street),Wellington,5.961
2020-01-13,Mount Maunganui at Totara St,Bay of Plenty,8.699
2020-01-13,Nelson at St Vincent St,Nelson,3.6
2020-01-13,Patumahoe,Auckland,6.5
2020-01-13,Penrose,Auckland,6.0
2020-01-13,Plunket AQ,Tasman,3.1
2020-01-13,Queen Street,Auckland,7.3
2020-01-13,Rangiora,Canterbury,6.096
2020-01-13,Reefton AQ at School Pool,West Coast,1.6
2020-01-13,Rotorua at Edmund Rd,Bay of Plenty,6.912
2020-01-13,St Albans,Canterbury,6.333
2020-01-13,St Johns,Hawke's Bay,4.6
2020-01-13,Takapuna,Auckland,6.6
2020-01-13,Waimate Kennedy,Canterbury,4.05
2020-01-13,Wainuiomata (Moohan Street),Wellington,4.155
2020-01-13,Waitomo District Council,Waikato,5.64097
2020-01-13,Washdyke Alpine,Canterbury,4.567
2020-01-13,Wellington Central (Willis Street),Wellington,7.992
2020-01-13,Whangārei Air Shed at Robert Street,Northland,9.54
2020-01-13,Winton at Essex Street,Southland,4.42
2020-01-13,Woolston,Canterbury,4.7
2020-01-14,Anzac Square,Canterbury,5.304
2020-01-14,Awatoto AQ,Hawke's Bay,4.5
2020-01-14,Billah Street,Waikato,3.38458
2020-01-14,Blenheim Bowling Club,Marlborough,5.74
2020-01-14,Central School,Taranaki,2.5
2020-01-14,Claudelands,Waikato,3.11111
2020-01-14,Gisborne Boys' High School,Gisborne,7.406
2020-01-14,Hampstead,Canterbury,6.904
2020-01-14,Kaiapoi,Canterbury,6.7
2020-01-14,Masterton West (Pownall Street),Wellington,6.105
2020-01-14,Mount Maunganui at Totara St,Bay of Plenty,2.986
2020-01-14,Nelson at St Vincent St,Nelson,4.6
2020-01-14,Patumahoe,Auckland,3.2
2020-01-14,Penrose,Auckland,4.4
2020-01-14,Plunket AQ,Tasman,5.5
2020-01-14,Rangiora,Canterbury,4.646
2020-01-14,Reefton AQ at School Pool,West Coast,1.36
2020-01-14,Rotorua at Edmund Rd,Bay of Plenty,3.529
2020-01-14,St Albans,Canterbury,5.621
2020-01-14,St Johns,Hawke's Bay,4.8
2020-01-14,Takapuna,Auckland,4.6
2020-01-14,Waimate Kennedy,Canterbury,3.917
2020-01-14,Wainuiomata (Moohan Street),Wellington,5.23
2020-01-14,Waitomo District Council,Waikato,4.18472
2020-01-14,Washdyke Alpine,Canterbury,5.914
2020-01-14,Wellington Central (Willis Street),Wellington,6.488
2020-01-14,Whangārei Air Shed at Robert Street,Northland,15.4
2020-01-14,Winton at Essex Street,Southland,7.2
2020-01-14,Woolston,Canterbury,4.879
2020-01-15,Anzac Square,Canterbury,5.154
2020-01-15,Awatoto AQ,Hawke's Bay,3.5
2020-01-15,Billah Street,Waikato,4.09479
2020-01-15,Blenheim Bowling Club,Marlborough,6.63
2020-01-15,Central School,Taranaki,3.38
2020-01-15,Claudelands,Waikato,4.59861
2020-01-15,Geraldine,Canterbury,5.394
2020-01-15,Gisborne Boys' High School,Gisborne,5.635
2020-01-15,Hampstead,Canterbury,6.617
2020-01-15,Kaiapoi,Canterbury,6.108
2020-01-15,Masterton West (Pownall Street),Wellington,5.153
2020-01-15,Mount Maunganui at Totara St,Bay of Plenty,5.149
2020-01-15,Nelson at St Vincent St,Nelson,6.1
2020-01-15,Patumahoe,Auckland,5.7
2020-01-15,Penrose,Auckland,10.8
2020-01-15,Plunket AQ,Tasman,4.8
2020-01-15,Rangiora,Canterbury,4.688
2020-01-15,Reefton AQ at School Pool,West Coast,2.34
2020-01-15,Rotorua at Edmund Rd,Bay of Plenty,3.462
2020-01-15,St Albans,Canterbury,6.504
2020-01-15,St Johns,Hawke's Bay,5.4
2020-01-15,Takapuna,Auckland,5.0
2020-01-15,Waimate Kennedy,Canterbury,4.446
2020-01-15,Wainuiomata (Moohan Street),Wellington,3.841
2020-01-15,Waitomo District Council,Waikato,3.68333
2020-01-15,Washdyke Alpine,Canterbury,8.021
2020-01-15,Wellington Central (Willis Street),Wellington,4.767
2020-01-15,Whangārei Air Shed at Robert Street,Northland,10.04
2020-01-15,Winton at Essex Street,Southland,6.43
2020-01-15,Woolston,Canterbury,5.304
2020-01-16,Anzac Square,Canterbury,4.5
2020-01-16,Awatoto AQ,Hawke's Bay,3.1
2020-01-16,Billah Street,Waikato,2.31889
2020-01-16,Blenheim Bowling Club,Marlborough,3.23
2020-01-16,Central School,Taranaki,1.75
2020-01-16,Claudelands,Waikato,2.96458
2020-01-16,Geraldine,Canterbury,5.978
2020-01-16,Gisborne Boys' High School,Gisborne,4.55
2020-01-16,Hampstead,Canterbury,7.246
2020-01-16,Kaiapoi,Canterbury,4.108
2020-01-16,Masterton West (Pownall Street),Wellington,3.322
2020-01-16,Mount Maunganui at Totara St,Bay of Plenty,2.524
2020-01-16,Nelson at St Vincent St,Nelson,6.0
2020-01-16,Patumahoe,Auckland,3.3
2020-01-16,Plunket AQ,Tasman,7.3
2020-01-16,Queen Street,Auckland,4.2
2020-01-16,Rangiora,Canterbury,4.058
2020-01-16,Reefton AQ at School Pool,West Coast,1.97
2020-01-16,Rotorua at Edmund Rd,Bay of Plenty,2.831
2020-01-16,St Albans,Canterbury,4.483
2020-01-16,St Johns,Hawke's Bay,1.8
2020-01-16,Takapuna,Auckland,3.7
2020-01-16,Waimate Kennedy,Canterbury,4.083
2020-01-16,Wainuiomata (Moohan Street),Wellington,2.313
2020-01-16,Waitomo District Council,Waikato,3.70208
2020-01-16,Washdyke Alpine,Canterbury,6.883
2020-01-16,Whangārei Air Shed at Robert Street,Northland,8.37
2020-01-16,Winton at Essex Street,Southland,6.74
2020-01-16,Woolston,Canterbury,3.75
2020-01-17,Anzac Square,Canterbury,2.9
2020-01-17,Awatoto AQ,Hawke's Bay,2.2
2020-01-17,Billah Street,Waikato,2.8125
2020-01-17,Blenheim Bowling Club,Marlborough,2.83
